iso3,classification,line_code,boundary_year,outgoing_source,incoming_source,anchor_value_lcu_mn,growth_applied,scope,break_flag,grade,crosswalk_version,coverage_share,coverage_share_year,variants
DEU,COFOG,GF01,1995,anchor,IMF_GFS,140817.0,0.9416535892131677,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,0.9943,2024,strict+maximum
DEU,COFOG,GF01_7,1995,anchor,EC_AMECO,66581.0,0.9105750889893514,"AMECO UYIG: ESA gross GG interest payable (D.41), Commission redistribution of national accounts; same gross accrued concept",False,B,EC_AMECO_to_INTEREST:1.0,0.93,2024,strict+maximum
DEU,COFOG,GF02,1995,anchor,IMF_GFS,23910.0,1.1617490797060603,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,1.0,2024,strict+maximum
DEU,COFOG,GF03,1995,anchor,IMF_GFS,29620.0,0.9873570493837271,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,1.0,2024,strict+maximum
DEU,COFOG,GF04,1995,anchor,IMF_GFS,218927.0,0.4148620398431888,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,1.0,2024,strict+maximum
DEU,COFOG,GF05,1995,anchor,IMF_GFS,16837.0,1.064124120071242,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,1.0,2024,strict+maximum
DEU,COFOG,GF06,1995,anchor,IMF_GFS,14143.0,1.0926543462934668,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,1.0,2024,strict+maximum
DEU,COFOG,GF07,1995,anchor,IMF_GFS,116093.0,0.9470199860589873,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,1.0,2024,strict+maximum
DEU,COFOG,GF08,1995,anchor,IMF_GFS,20017.0,0.721136075431773,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,1.0,2024,strict+maximum
DEU,COFOG,GF09,1995,anchor,IMF_GFS,78046.0,1.0254359784671065,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,1.0,2024,strict+maximum
DEU,COFOG,GF10,1995,anchor,IMF_GFS,391118.0,0.9160417973447272,IMF GFS COFOG: redistribution of the same Destatis ESA data (boundary ratio ~1.0 at 1995); XDC levels,False,B,IMF_GFS_to_COFOG:1.0,1.0,2024,strict+maximum
