iso3,series_variant,weo_vintage,source_vintage_set_hash,base_year,horizon_year,component_kind,side,line_code,contribution_pp,notes
GBR,strict,2026-04,9b805ef685ff,2025,2026,covered_line,revenue,R06,0.059707548724885484,
GBR,strict,2026-04,9b805ef685ff,2025,2026,denom_effect,revenue,,-0.0256435559210344,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
GBR,strict,2026-04,9b805ef685ff,2025,2026,resid_total,revenue,,1.6502239980248912,"no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
GBR,strict,2026-04,9b805ef685ff,2025,2026,denom_effect,expenditure,,-0.0,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
GBR,strict,2026-04,9b805ef685ff,2025,2026,resid_total,expenditure,,-0.21191440138202955,"no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
GBR,strict,2026-04,9b805ef685ff,2025,2026,weo_internal_wedge,balance,,-4.218847493575595e-15,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
GBR,strict,2026-04,9b805ef685ff,2025,2026,weo_change,balance,,1.4723735894467085,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
GBR,strict,2026-04,9b805ef685ff,2025,2026,covered_total,balance,,0.059707548724885484,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
GBR,strict,2026-04,9b805ef685ff,2025,2026,explained_share,balance,,0.04055190146905753,"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
GBR,strict,2026-04,9b805ef685ff,2025,2027,covered_line,revenue,R06,0.10612122965075604,
GBR,strict,2026-04,9b805ef685ff,2025,2027,denom_effect,revenue,,-0.016182532605026057,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
GBR,strict,2026-04,9b805ef685ff,2025,2027,resid_total,revenue,,2.5794190263858012,"no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
GBR,strict,2026-04,9b805ef685ff,2025,2027,denom_effect,expenditure,,-0.0,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
GBR,strict,2026-04,9b805ef685ff,2025,2027,resid_total,expenditure,,-0.4133906074452409,"no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
GBR,strict,2026-04,9b805ef685ff,2025,2027,weo_internal_wedge,balance,,-1.199040866595169e-14,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
GBR,strict,2026-04,9b805ef685ff,2025,2027,weo_change,balance,,2.2559671159862784,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
GBR,strict,2026-04,9b805ef685ff,2025,2027,covered_total,balance,,0.10612122965075604,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
GBR,strict,2026-04,9b805ef685ff,2025,2027,explained_share,balance,,0.047040237820293436,"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
GBR,strict,2026-04,9b805ef685ff,2025,2028,denom_effect,revenue,,0.0,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
GBR,strict,2026-04,9b805ef685ff,2025,2028,resid_total,revenue,,2.952172009602183,"no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
GBR,strict,2026-04,9b805ef685ff,2025,2028,denom_effect,expenditure,,-0.0,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
GBR,strict,2026-04,9b805ef685ff,2025,2028,resid_total,expenditure,,-0.19919813058693614,"no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
GBR,strict,2026-04,9b805ef685ff,2025,2028,weo_internal_wedge,balance,,1.3322676295501878e-15,GGXCNL change minus (GGR change - GGX change) inside the WEO tables; rounding only
GBR,strict,2026-04,9b805ef685ff,2025,2028,weo_change,balance,,2.7529738790152485,Δ((GGXCNL/NGDP)) from base year; the decomposition target — components above sum to this exactly (V26)
GBR,strict,2026-04,9b805ef685ff,2025,2028,covered_total,balance,,0.0,sum of signed covered-line contributions — what the granular official forecasts explain of the WEO change
GBR,strict,2026-04,9b805ef685ff,2025,2028,explained_share,balance,,0.0,"covered_total / weo_change (a ratio, not pp): the Gate 5 headline number"
GBR,strict,2026-04,9b805ef685ff,2025,2029,denom_effect,revenue,,0.0,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
GBR,strict,2026-04,9b805ef685ff,2025,2029,resid_total,revenue,,3.327985867078592,"no independent official total at this horizon (AMECO envelope ends 2027; GBR has no level at the base year, OQ-4) — coverage and disagreement residuals collapse (§8.3)"
GBR,strict,2026-04,9b805ef685ff,2025,2029,denom_effect,expenditure,,-0.0,"covered contributions on the lines' own source GDP paths minus the WEO NGDP version (§8.3; reported, never absorbed)"
